,1,2,3,4,5,CY,Z_count_1,Z_count_2,Z_count_3,Z_count_4,Z_count_5,Z_count_6,Z_min,Z_T,Z_max,Z_min_61,Z_max_61,Z_min_c,Z_T_c,Z_max_c,Z_min_61_c,Z_max_61_c,F_count_1,F_count_2,F_count_3,F_count_4,F_count_5,F_count_6,F_min,F_T,F_max,F_min_56,F_max_56,F_min_c,F_T_c,F_max_c,F_min_56_c,F_max_56_c
33,1,1,1,6,4,1,3,0,0,1,0,1,0,3,3,1,3,0,3,3,1,3,3,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4
34,1,1,1,6,5,1,3,0,0,0,1,1,0,3,3,1,3,0,3,3,1,3,3,3,3,3,4,4,3,3,4,4,4,3,3,4,4,4
35,1,1,1,6,6,1,3,0,0,0,0,2,0,3,3,2,3,0,3,3,2,3,3,3,3,3,3,5,3,3,5,3,5,3,3,5,3,5
36,1,1,2,1,1,1,4,1,0,0,0,0,0,4,4,0,4,0,4,4,0,4,4,5,4,4,4,4,4,5,5,4,4,4,5,5,4,4
37,1,1,2,1,2,1,3,2,0,0,0,0,0,3,3,0,3,0,3,3,0,3,3,5,3,3,3,3,3,5,5,3,3,3,5,5,3,3
38,1,1,2,1,3,1,3,1,1,0,0,0,0,3,3,0,3,0,3,3,0,3,3,4,4,3,3,3,3,4,4,3,3,3,4,4,3,3
39,1,1,2,1,4,1,3,1,0,1,0,0,0,3,3,0,3,0,3,3,0,3,3,4,3,4,3,3,3,4,4,3,3,3,4,4,3,3
40,1,1,2,1,5,1,3,1,0,0,1,0,0,3,3,0,3,0,3,3,0,3,3,4,3,3,4,3,3,4,4,3,4,3,4,4,3,4
41,1,1,2,1,6,1,3,1,0,0,0,1,0,3,3,1,3,0,3,3,1,3,3,4,3,3,3,4,3,4,4,3,4,3,4,4,3,4
42,1,1,2,2,1,1,3,2,0,0,0,0,0,3,3,0,3,0,3,3,0,3,3,5,3,3,3,3,3,5,5,3,3,3,5,5,3,3
43,1,1,2,2,2,1,2,3,0,0,0,0,0,2,3,0,2,0,2,3,0,2,2,5,2,2,2,2,2,5,5,2,2,2,5,5,2,2
44,1,1,2,2,3,1,2,2,1,0,0,0,0,2,2,0,2,0,2,2,0,2,2,4,3,2,2,2,2,4,4,2,2,2,4,4,2,2
45,1,1,2,2,4,1,2,2,0,1,0,0,0,2,2,0,2,0,2,2,0,2,2,4,2,3,2,2,2,4,4,2,2,2,4,4,2,2
46,1,1,2,2,5,1,2,2,0,0,1,0,0,2,2,0,2,0,2,2,0,2,2,4,2,2,3,2,2,4,4,2,3,2,4,4,2,3
47,1,1,2,2,6,1,2,2,0,0,0,1,0,2,2,1,2,0,2,2,1,2,2,4,2,2,2,3,2,4,4,2,3,2,4,4,2,3
48,1,1,2,3,1,1,3,1,1,0,0,0,0,3,3,0,3,0,3,3,0,3,3,4,4,3,3,3,3,4,4,3,3,3,4,4,3,3
49,1,1,2,3,2,1,2,2,1,0,0,0,0,2,2,0,2,0,2,2,0,2,2,4,3,2,2,2,2,4,4,2,2,2,4,4,2,2
50,1,1,2,3,3,1,2,1,2,0,0,0,0,2,2,0,2,0,2,2,0,2,2,3,4,2,2,2,2,3,4,2,2,2,3,4,2,2
51,1,1,2,3,4,1,2,1,1,1,0,0,0,2,2,0,2,0,2,2,0,2,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2
52,1,1,2,3,5,1,2,1,1,0,1,0,0,2,2,0,2,0,2,2,0,2,2,3,3,2,3,2,2,3,3,2,3,2,3,3,2,3
53,1,1,2,3,6,1,2,1,1,0,0,1,0,2,2,1,2,0,2,2,1,2,2,3,3,2,2,3,2,3,3,2,3,2,3,3,2,3
54,1,1,2,4,1,1,3,1,0,1,0,0,0,3,3,0,3,0,3,3,0,3,3,4,3,4,3,3,3,4,4,3,3,3,4,4,3,3
55,1,1,2,4,2,1,2,2,0,1,0,0,0,2,2,0,2,0,2,2,0,2,2,4,2,3,2,2,2,4,4,2,2,2,4,4,2,2
56,1,1,2,4,3,1,2,1,1,1,0,0,0,2,2,0,2,0,2,2,0,2,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2
57,1,1,2,4,4,1,2,1,0,2,0,0,0,2,2,0,2,0,2,2,0,2,2,3,2,4,2,2,2,3,4,2,2,2,3,4,2,2
58,1,1,2,4,5,1,2,1,0,1,1,0,0,2,2,0,2,0,2,2,0,2,2,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3
59,1,1,2,4,6,1,2,1,0,1,0,1,0,2,2,1,2,0,2,2,1,2,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3
60,1,1,2,5,1,1,3,1,0,0,1,0,0,3,3,0,3,0,3,3,0,3,3,4,3,3,4,3,3,4,4,3,4,3,4,4,3,4
61,1,1,2,5,2,1,2,2,0,0,1,0,0,2,2,0,2,0,2,2,0,2,2,4,2,2,3,2,2,4,4,2,3,2,4,4,2,3
62,1,1,2,5,3,1,2,1,1,0,1,0,0,2,2,0,2,0,2,2,0,2,2,3,3,2,3,2,2,3,3,2,3,2,3,3,2,3
63,1,1,2,5,4,1,2,1,0,1,1,0,0,2,2,0,2,0,2,2,0,2,2,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3
64,1,1,2,5,5,1,2,1,0,0,2,0,0,2,2,0,2,0,2,2,0,2,2,3,2,2,4,2,2,3,4,2,4,2,3,4,2,4
65,1,1,2,5,6,1,2,1,0,0,1,1,0,2,2,1,2,0,2,2,1,2,2,3,2,2,3,3,2,3,3,3,3,2,3,3,3,3
66,1,1,2,6,1,1,3,1,0,0,0,1,0,3,3,1,3,0,3,3,1,3,3,4,3,3,3,4,3,4,4,3,4,3,4,4,3,4
67,1,1,2,6,2,1,2,2,0,0,0,1,0,2,2,1,2,0,2,2,1,2,2,4,2,2,2,3,2,4,4,2,3,2,4,4,2,3
68,1,1,2,6,3,1,2,1,1,0,0,1,0,2,2,1,2,0,2,2,1,2,2,3,3,2,2,3,2,3,3,2,3,2,3,3,2,3
69,1,1,2,6,4,1,2,1,0,1,0,1,0,2,2,1,2,0,2,2,1,2,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3
70,1,1,2,6,5,1,2,1,0,0,1,1,0,2,2,1,2,0,2,2,1,2,2,3,2,2,3,3,2,3,3,3,3,2,3,3,3,3
71,1,1,2,6,6,1,2,1,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,3,2,2,2,4,2,3,4,2,4,2,3,4,2,4
72,1,1,3,1,1,1,4,0,1,0,0,0,0,4,4,0,4,0,4,4,0,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4
73,1,1,3,1,2,1,3,1,1,0,0,0,0,3,3,0,3,0,3,3,0,3,3,4,4,3,3,3,3,4,4,3,3,3,4,4,3,3
